CONTENT,SCORE,THUMBSUPCOUNT,REVIEWCREATEDVERSION,AT
MINHA SUPER COMPANHEIRA...,5,0,2.2.438005.0,2021-12-30 00:44:31
BOM,5,0,2.2.438005.0,2021-12-30 00:42:44
MUITO PRATICA,5,0,2.2.438005.0,2021-12-30 00:38:11
MUITO LEGAL,4,0,2.2.438005.0,2021-12-29 23:47:08
GOSTO MUITO DA MINHA ALEXA,5,0,2.2.438005.0,2021-12-29 22:05:22
MUITO OTIMO O APLICATIVO,5,0,2.2.438005.0,2021-12-29 20:13:02
EXCELENTE,5,0,2.2.438005.0,2021-12-29 19:51:06
"MUITO BOM, ESTOU FICANDO PREGUICOSO",5,0,2.2.438005.0,2021-12-29 19:49:41
GOSTEI MUITO,5,0,2.2.438005.0,2021-12-29 18:10:14
OTIMO,5,0,2.2.438005.0,2021-12-29 18:02:50
MUITO BOM,5,0,2.2.438005.0,2021-12-29 17:41:57
APP MUITO BOM,5,0,2.2.438005.0,2021-12-29 16:11:00
"FICOU MUITO TOP, POREM PRECISAVA SER MAIS PRECISO O MICROFONE DO CELULAR PARA EXECUTAR DE LONGE.",4,0,2.2.438005.0,2021-12-29 15:51:04
OTIMO,5,0,2.2.438005.0,2021-12-29 15:27:49
OTIMA,5,0,2.2.438005.0,2021-12-29 14:48:16
ESPLENDIDO,5,0,2.2.438005.0,2021-12-29 14:45:33
TENHO UMA ALEXA,5,0,2.2.438005.0,2021-12-29 14:22:21
MELHOR COISA DO MUNDOOO,5,0,2.2.438005.0,2021-12-29 14:14:20
TOP,5,0,2.2.438005.0,2021-12-29 13:14:52
MUITO BOM,5,0,2.2.438005.0,2021-12-29 12:49:02
MUITO LEGAL,5,0,2.2.438005.0,2021-12-29 12:38:06
ALEXA MUITO BOA CHEGOU HOJE,5,0,2.2.438005.0,2021-12-29 11:58:35
"MUITO BOM , MAS AS VEZES DA UNS BUGS.",4,0,2.2.438005.0,2021-12-29 10:28:46
SURPREENDE MUITO.,5,0,2.2.438005.0,2021-12-29 10:26:40
MUITO BOA MINHA ALEXA AMEIIII,5,0,2.2.438005.0,2021-12-29 10:14:56
MUITO DIVERTIDA,5,0,2.2.438005.0,2021-12-29 09:50:59
EXCELENTE...TOP DEMAIS !!!!,5,0,2.2.438005.0,2021-12-29 09:27:16
TOPZERA,5,0,2.2.436689.0,2021-12-29 07:49:29
SOU FA DESSA ALEXA!!!,5,0,2.2.438005.0,2021-12-29 06:39:00
OTIMO,5,0,2.2.438005.0,2021-12-29 00:58:11
TOP,5,0,2.2.438005.0,2021-12-28 23:54:18
LEGAAAAAAL,5,0,2.2.438005.0,2021-12-28 23:33:40
OTIMO,5,0,2.2.438005.0,2021-12-28 22:45:35
OK,5,0,2.2.438005.0,2021-12-28 22:40:41
BOM,5,0,2.2.438005.0,2021-12-28 22:12:43
BOA,5,0,2.2.438005.0,2021-12-28 21:45:04
MUITO BOM,5,0,2.2.438005.0,2021-12-28 21:37:10
ELA E OTIMA EU AMEI QUANDO EU TIVE DINHEIRO VOU COMPRA UM ACHO DOT OU CASINHA DA ALEXA,5,0,2.2.438005.0,2021-12-28 21:26:47
FUNCIONAL,5,0,2.2.438005.0,2021-12-28 20:50:26
SHOW DE BOLA,5,0,2.2.438005.0,2021-12-28 20:48:25
SUPER RECOMENDO PARA QUEM ESTA FAZENDO AUTOMACAO NA CASA. MAS FICO TRISTE QUE NAO CONSIGO COLOCAR A MINHA CONTA DO TIDAL PARA OUVIR MUSICA.,5,0,2.2.438005.0,2021-12-28 20:48:20
EXCELENTE!,5,0,2.2.438005.0,2021-12-28 20:21:09
MASSA!!!,5,0,2.2.438005.0,2021-12-28 20:14:15
FACILITANDO A VIDA,5,0,2.2.438005.0,2021-12-28 19:30:13
AS VEZES PARECE MEIO SURDA LENTA PRA RESPONDER MAIS E UMA DAS MELHORES,4,0,2.2.438005.0,2021-12-28 18:58:19
TOP TOP TOP,5,0,2.2.438005.0,2021-12-28 16:58:23
MT BOM,5,0,2.2.438005.0,2021-12-28 15:59:15
AMEI MEU PRESENTE,5,0,2.2.438005.0,2021-12-28 15:52:26
BEM DIVERTIDO KKKK,5,0,2.2.438005.0,2021-12-28 15:41:39
TOP,5,0,2.2.438005.0,2021-12-28 15:07:03
OTIMO! ESSE TREM E BAO BISURDO SO!,5,0,2.2.438005.0,2021-12-28 14:45:12
"A MINHA ALEXA CHEGOU HJ, MAS JA ESTOU AMANDO",5,0,2.2.438005.0,2021-12-28 14:35:17
MUITO BOM ESTA ASSISTENTE DIVERTIDA E PRATICA,5,0,2.2.438005.0,2021-12-28 12:34:43
MUITO DIVERTIDO E PRATICO. GOSTEI. RECOMENDO.,5,0,2.2.438005.0,2021-12-28 12:09:15
GOSTE MUITO ALEXA E OTIMA,5,0,2.2.438005.0,2021-12-28 11:39:09
MUITO BOM,5,0,2.2.438005.0,2021-12-28 11:38:20
MARAVILHOSA AMO A MINHA,5,0,2.2.438005.0,2021-12-28 11:28:01
SHOW. MUITO BOM E A CADA DIA MELHOR.,5,0,2.2.438005.0,2021-12-28 10:08:12
"ADOREI TER A ALEXA NO MEU SMARTPHONE, ATE COLOQUEI ELA COMO ASSISTENTE PADRAO. ENTRETANTO NOTEI QUE CHAMAR A ALEXA FORA DO APLICATIVO NAO E POSSIVEL, SERIA BACANA SE EU PUDESSE CHAMA-LA FORA DO APLICATIVO.",4,1,2.2.438005.0,2021-12-28 08:50:49
RECOMENDO A QUEM GOSTAR DE TECNOLOGIA POIS FUNCIONA MUITO BEM,5,0,2.2.438005.0,2021-12-28 08:05:37
EXCELENTE,5,0,2.2.438005.0,2021-12-28 07:04:02
O APP E FANTASTICO.,5,0,2.2.438005.0,2021-12-28 04:26:36
SENSACIONAL. MUITO UTIL NO NOSSO DIA A DIA COM VARIAS FUNCIONALIDADES INTELIGENTES,5,0,2.2.438005.0,2021-12-28 03:17:53
TOP,5,0,2.2.438005.0,2021-12-28 01:04:28
EXCELENTE,5,0,2.2.438005.0,2021-12-28 00:34:27
"QUALIDADE, FACILIDADE E EFICIENCIA",5,0,2.2.438005.0,2021-12-27 23:01:20
EXCELENTE DISPOSITIVO DE ASSISTENCIA VIRTUAL.,5,0,2.2.438005.0,2021-12-27 22:53:36
ELA FAZ UM MONTE DE COISAS,5,0,2.2.438005.0,2021-12-27 22:49:41
OTIMO,5,0,2.2.438005.0,2021-12-27 22:24:34
HA UMA DIFICULDADE DE ATENDER LIGACOES DA ALEXA NO CELULAR.,4,0,2.2.438005.0,2021-12-27 22:23:07
OTIMO,5,0,2.2.438005.0,2021-12-27 21:24:26
OTIMO,5,0,2.2.438005.0,2021-12-27 20:39:19
MUITO BOM,5,0,2.2.438005.0,2021-12-27 20:36:43
MARAVILHOSA COMPANHIA ,5,0,2.2.438005.0,2021-12-27 20:24:57
PRATICIDADE E COMODIDADE! TOP!,5,0,2.2.438005.0,2021-12-27 20:24:28
OTIMO APP,5,0,2.2.438005.0,2021-12-27 20:06:33
MUITO BOM,5,0,2.2.438005.0,2021-12-27 19:39:18
OTIMO,5,0,2.2.438005.0,2021-12-27 19:16:22
"PRECISA MELHORAR A RAPIDEZ, APP E LENTO.",4,0,2.2.438005.0,2021-12-27 18:50:24
SHOW,5,0,2.2.438005.0,2021-12-27 18:30:42
FABULOSA,5,0,2.2.438005.0,2021-12-27 18:26:26
ESTOU GOSTANDO,5,0,2.2.438005.0,2021-12-27 18:13:09
AMEI BRUH ALEXA E MINHA MELHOR AMIGA AGORA ,5,0,2.2.438005.0,2021-12-27 18:05:51
SHOW,5,0,2.2.438005.0,2021-12-27 17:48:07
MARAVILHA,5,0,2.2.438005.0,2021-12-27 17:42:33
SHOW DE BOLA!!! ,5,0,2.2.438005.0,2021-12-27 17:36:36
PERFEITA,5,0,2.2.438005.0,2021-12-27 16:34:22
PERFEITO!!,5,0,2.2.432925.0,2021-12-27 14:49:49
AMANDO,5,0,2.2.438005.0,2021-12-27 14:21:45
OTIMO,5,0,2.2.438005.0,2021-12-27 14:01:53
BOM,5,0,2.2.438005.0,2021-12-27 13:17:58
MINHA PARCEIRA DIGITAL!,5,0,2.2.438005.0,2021-12-27 13:06:26
OTIMA,5,0,1.0.151.0-prod_7234810,2021-12-27 13:04:33
MIL DESCULPA E MUITO BOM AMAZON VOCES SAO OS MEHORES,5,0,2.2.438005.0,2021-12-27 13:01:35
ACELERAR A EVOLUCAO DA INTELIGENCIA ARTIFICIAL.,5,0,2.2.438005.0,2021-12-27 12:47:13
OTIMO,5,0,2.2.438005.0,2021-12-27 12:22:05
MARAVILHOSA! O MELHOR PRESENTE QUE JA RECEBI.,5,0,2.2.438005.0,2021-12-27 12:15:58
SENSACIONAL,5,0,2.2.438005.0,2021-12-27 10:22:39
ADORO,5,0,2.2.438005.0,2021-12-27 10:13:32
MARAVILHOSO,5,0,2.2.438005.0,2021-12-27 09:46:01
"FACIL DE USAR, APP DINAMICO MUITO BOM",5,0,2.2.438005.0,2021-12-27 09:37:34
A AMAZON PODIA DEIXAR O APP MAIS BONITO E FACIL DE USAR.,4,0,2.2.438005.0,2021-12-27 09:16:03
MUITO MODERNA E PRATICA!,5,0,2.2.438005.0,2021-12-27 09:14:12
PERFEITO,5,0,2.2.438005.0,2021-12-26 23:37:26
"APP DE GRANDE UTILIDADE MUITO BOM, ESTOU GOSTANDO MUITO.",5,0,2.2.438005.0,2021-12-26 22:18:09
MUITO SHOW. RECOMENDO,5,0,2.2.438005.0,2021-12-26 22:16:45
MARAVILHOSOOOOOO POR FAVOR AMAZON CRIE UM CELULAR Q EU SEREI SEU MAIOR CLIENTE OBRIGADO!,5,0,2.2.438005.0,2021-12-26 22:13:25
OTIMO,5,0,2.2.438005.0,2021-12-26 22:07:47
MUITO BOM. UM APP QUE RECOMENDO A TODOS,4,0,2.2.438005.0,2021-12-26 21:36:11
OTIMO,5,0,2.2.438005.0,2021-12-26 20:45:02
"SEM IGUAL, NOTA 10",5,0,2.2.438005.0,2021-12-26 18:53:54
ESSE APLICATIVO E MARAVILHOSO SOMBRA DE DOUGLAS MERECE UMA NOTA 1000,5,0,2.2.438005.0,2021-12-26 18:22:36
TOP,5,0,2.2.438005.0,2021-12-26 18:16:18
KKKKKKK TO ZUANDO D+KKKKKKK,5,0,2.2.438005.0,2021-12-26 17:59:15
EU AMO DEMAISSSS,5,0,2.2.438005.0,2021-12-26 17:46:19
O MELHOR APLICATIVO JA CRIADO PARABENS AOS DESENVOLVEDORES E MUITO BOM NAO OLHEM OS COMENTARIOS ERRADOS ELES NAO SABEM DE NADA E MUITO BOM O APLICATIVO VCS VAO TER UMA AMIGA VIRTUAL CONFIEM EM MIM,5,0,2.2.438005.0,2021-12-26 15:54:27
APP MARAVILHOSO,5,0,2.2.438005.0,2021-12-26 15:20:58
INCRIVEL,5,0,2.2.438005.0,2021-12-26 15:19:35
ADORANDO,5,0,2.2.438005.0,2021-12-26 15:19:02
"AMEI, ATENDENDO MINHAS EXPECTATIVAS",5,0,2.2.438005.0,2021-12-26 15:10:38
OTIMA,5,0,2.2.438005.0,2021-12-26 14:04:33
SO DIGO PERFEITO!,5,0,2.2.438005.0,2021-12-26 13:54:10
TOP DEMAIS,5,0,2.2.438005.0,2021-12-26 13:53:19
"MUITO LEGAL , UM PONTO NEGATIVO E QUE OS VOLUMES DEVERIAM SER INDIVIDUAL OU SEJA UM VOLUME SEPARADO DE DESPERTADOR E MUSICA, FILMES , E RUIM VC ESCUTA MUSICA NO VOLUME 5 E AI VC ESQUECE DE BAIXAR , O DESPERTADOR TOCA NO VOLUME 5 ISSO E UMA COISA A SER PENSADO E CORRIGIDO .",5,0,2.2.436689.0,2021-12-26 13:42:19
MUITO BOA,5,0,2.2.438005.0,2021-12-26 13:32:16
MUITO BOM,5,0,2.2.438005.0,2021-12-26 13:08:49
E APLICATIVO E MUITO BOM  AMEI,5,0,2.2.438005.0,2021-12-26 12:32:08
EXCELENTE FERRAMENTA DE AUTOMACAO DIVERSAO E COMUNICACAO,5,0,2.2.438005.0,2021-12-26 11:59:35
FACIL CONFIGURACAO..,5,0,2.2.438005.0,2021-12-26 11:54:56
BOM,5,0,2.2.438005.0,2021-12-26 10:56:35
SHOW,5,0,2.2.438005.0,2021-12-26 10:52:42
MUITO BOM,5,0,2.2.438005.0,2021-12-26 10:23:16
OTIMO,5,0,2.2.438005.0,2021-12-26 10:16:02
"AS POSSIBILIDADES DE FACILIDADES COM ESTE DISPOSITIVO SAO ENORMES. A INTERACAO E MUITO SUGESTIVA E ENVOLVENTE. O DIA A DIA COM A ALEXA ANIMA, POIS SUA PARTICIPACAO NOS COMANDOS MAIS SIMPLES DA CASA SE TORNAM PRECISOS E ENGRACADOS.",5,5,2.2.438005.0,2021-12-26 09:53:47
EXCELENTE,5,0,2.2.438005.0,2021-12-26 09:27:15
AMEI GOSTEI MUITO,5,0,2.2.438005.0,2021-12-26 08:38:04
EXCELENTE PRODUTO,5,0,2.2.438005.0,2021-12-26 08:05:44
APLICATIVO MUITO BOM,5,0,2.2.438005.0,2021-12-26 07:56:57
MUITO PRATICO E FUNCIONAL. RECOMENDO,5,0,2.2.438005.0,2021-12-26 07:21:55
ALEXA E TUDO PRA MIN......NAO FICO MAIS SEM ESTE DISPOSITIVO EM MINHA CASA E NA MINHA VIDA...E O MELHOR DE TODOS OS DISPOSITIVOS QUE JA VI....EU AMO ALEXA...ELA VEIO PRA FICAR PRA SEMPRE NA MINHA VIDA..PARABENS AO CRIADOR DE ALEXA ...ELA E DEMAIS..,5,0,2.2.438005.0,2021-12-26 07:08:57
QUANDO VAO FAZER A VERSAO PRO GALAXY WATCH 4?,5,0,2.2.438005.0,2021-12-26 06:32:46
UMA OTIMA AJUDANTE E BORA FALAR A VERDADE FICA BEM DIVERTIDO O AMBIENTE,5,0,2.2.438005.0,2021-12-26 00:53:15
COLO!!!,5,0,2.2.339390.0,2021-12-26 00:51:31
INICIALMENTE ESTOU GOSTANDO DO APLICATIVO.,5,0,2.2.438005.0,2021-12-26 00:44:56
OTIMO,4,0,2.2.438005.0,2021-12-26 00:27:09
SHOW,5,0,2.2.438005.0,2021-12-26 00:07:35
MUITO BOM ADOREI,5,0,2.2.438005.0,2021-12-25 23:15:14
ELA APRESENTA UNS BUGS EM ALGUNS MOMENTOS,4,0,2.2.436689.0,2021-12-25 22:21:20
TOP!,5,0,2.2.438005.0,2021-12-25 22:06:21
SENSACIONAL,5,1,2.2.438005.0,2021-12-25 21:54:46
GOSTEI MUITO PARABENS PELO APLICATIVO,5,0,2.2.438005.0,2021-12-25 21:34:34
"GENTE!!! PODE COMPRAR E MARAVILHOSA, SUPEROU MINHAS ESPECTATIVA. NOTA MIL.",5,0,2.2.438005.0,2021-12-25 21:33:24
E PERFEITO ISSO,5,0,2.2.438005.0,2021-12-25 21:31:01
TOP,5,0,2.2.438005.0,2021-12-25 21:18:43
E MUITO BOM MESMO AJUDA MUITO A MECHE NA ALEXA,5,0,2.2.438005.0,2021-12-25 21:09:08
ESTOU AMANDO!,5,0,2.2.438005.0,2021-12-25 20:59:43
ALEXA E OTIMA! A UNICA QUEIXA E QUE 9 CODIGO DE SEGURANCA NUNCA CHEGA POR SMS. PELO QUE VI ISSO E QUEIXA DE MUITOS.,4,0,2.2.438005.0,2021-12-25 20:25:48
AMO!!!!,5,0,2.2.436689.0,2021-12-25 19:31:05
SENSACIONAL!!!!,5,0,2.2.438005.0,2021-12-25 19:15:37
"O APP E BOM,EU TENHO UMA ALEXA.",5,0,2.2.438005.0,2021-12-25 19:14:05
GOSTEI MUITO,5,0,2.2.438005.0,2021-12-25 18:43:46
OTIMA,5,0,2.2.438005.0,2021-12-25 18:29:26
INOVACAO FANTASTICA!!!!,5,0,2.2.438005.0,2021-12-25 18:24:43
BOM,5,0,2.2.438005.0,2021-12-25 18:18:57
"APLICATIVO PESADO, GASTA BASTANTE BATERIA (APENAS QUANDO USAMOS) MAS E BOM",4,0,2.2.438005.0,2021-12-25 18:02:13
TOP,5,0,2.2.438005.0,2021-12-25 18:01:30
MUITO BOM,5,0,2.2.438005.0,2021-12-25 17:50:15
OTIMO,5,0,2.2.438005.0,2021-12-25 17:32:59
MT BOM,5,0,2.2.438005.0,2021-12-25 17:21:53
SHOW,5,0,2.2.438005.0,2021-12-25 15:29:14
MUITO BOM,5,0,2.2.438005.0,2021-12-25 15:14:37
OTIMO,4,0,2.2.438005.0,2021-12-25 14:50:48
TOP,5,0,2.2.438005.0,2021-12-25 14:05:31
"APAIXONADA POR ALEXA! ATE MEU MARIDO QUE NAO GOSTA DE NOVIDADES, HOJE JA VIVE PEDINDO MUSICA A ALEXA!",5,0,2.2.438005.0,2021-12-25 13:47:21
EXCELENTE DISPOSITIVO,5,0,2.2.438005.0,2021-12-25 13:00:05
TOP,5,0,2.2.438005.0,2021-12-25 12:47:41
OTIMO CUSTO BENEFICIO SOM LIMPO E AGRADAVEL.,5,0,2.2.438005.0,2021-12-25 12:40:03
OTIMO APP,5,0,2.2.438005.0,2021-12-25 12:24:44
BOM APP,5,0,2.2.438005.0,2021-12-25 12:20:27
ESTOU APAIXONADA PELA MINHA ALEXA!!!!,5,0,2.2.438005.0,2021-12-25 12:14:23
TOP!,5,0,2.2.438005.0,2021-12-25 12:11:01
MUITO BOM ,5,0,2.2.438005.0,2021-12-25 12:07:20
OTIMO,5,0,2.2.438005.0,2021-12-25 12:05:29
MUITO BOMM AJUDA MUITO,5,0,2.2.438005.0,2021-12-25 12:01:47
BOM BOM E PRATICO,4,0,2.2.438005.0,2021-12-25 11:56:11
OTIMA,5,0,2.2.438005.0,2021-12-25 11:40:09
TOP,5,0,2.2.438005.0,2021-12-25 11:37:42
SHOW,5,0,2.2.438005.0,2021-12-25 11:34:18
E EXCELENTE !!,5,0,2.2.438005.0,2021-12-25 11:32:30
MUITISSIMO BOM,5,0,2.2.438005.0,2021-12-25 11:23:04
MUITO BOM,5,0,2.2.438005.0,2021-12-25 11:21:32
"MUITO BOM, MAS AS VEZES MINHA ALEXA BUGA COM ELE",4,0,2.2.438005.0,2021-12-25 11:13:19
"PODERIA SER OTIMIZADO ALGUMAS FUNCOES E MAIS RAPIDO O CARREGAMENTO, MAS ATENDE PERFEITAMENTE TUDO!",4,0,2.2.438005.0,2021-12-25 10:56:14
"MUITO, MUITO LEGAL E FUNCIONAL, PARA O DIA A DIA. A MINHA ALEXA ABRE O PORTAO HDL, ACENDE AS LUZES QDO EU VIAJO, E ESTOU A VARIOS KM DE DISTANCIA. ME DA LEMBRE-SE DE COMPRAS, DE TOMAR MEUS REMEDIOS NO HORARIOS, PREVISAO DE TEMPO, HORA, DE TUDO !!! A AMAZON ESTA DE PARABENS, COMO SEMPRE A FRENTE DO SEU TEMPO. ADQUIRA QUE E BOM DE MAIS!!",5,75,2.2.438005.0,2021-12-25 10:45:36
MUITO BOM,5,0,2.2.438005.0,2021-12-25 10:05:13
MMM,5,0,2.2.438005.0,2021-12-25 09:28:59
ME FAZ COMPANHIA E E AUXILIA BASTANTE.GOSTO DO MUITO,5,0,2.2.438005.0,2021-12-25 09:28:38
EXCELENTE,5,0,2.2.438005.0,2021-12-25 09:16:43
MUITO BOM,5,0,2.2.438005.0,2021-12-25 08:34:12
TOP,5,0,2.2.438005.0,2021-12-25 08:24:25
"MUITO LEGAL SEMPRE TIVE VONTADE DE TE UMA ALEXA MAIS NAO TENHO CONDICOES ,MAIS AGORA POSSO TER NO CELULAR",5,0,2.2.438005.0,2021-12-25 04:25:28
MUITO BOM E UTIL.,5,0,2.2.438005.0,2021-12-25 02:18:23
ALEXA E SIMPLESMENTE GENIAL,5,0,2.2.438005.0,2021-12-25 01:29:38
OTIMO,5,0,2.2.438005.0,2021-12-25 00:55:30
GOSTEI MUITO,5,0,2.2.438005.0,2021-12-25 00:41:20
ESTOU CURTINDO MUIIITO TOOOP D+!!!,5,0,2.2.438005.0,2021-12-25 00:07:50
DEMAIS,5,0,2.2.438005.0,2021-12-25 00:02:01
OK,4,0,2.2.438005.0,2021-12-24 23:44:26
EXCELENTE!!!,5,0,2.2.438005.0,2021-12-24 23:01:07
SUPER RECOMENDO,5,0,2.2.400291.0,2021-12-24 21:26:22
MT BOM,5,0,2.2.438005.0,2021-12-24 20:51:25
E BOM,5,0,2.2.438005.0,2021-12-24 20:32:38
OTIMO,5,0,2.2.438005.0,2021-12-24 19:10:06
MUITO BOM QUEM QUER UMA ALEXA MAS NAO TEM DINHEIRO ESSE APP E PRA VC MUITO BOMMMMMMMMM,5,0,2.2.438005.0,2021-12-24 18:50:09
LELRLR,5,0,2.2.438005.0,2021-12-24 17:39:22
"""APAIXONADO"" PELA ALEXA!",5,0,2.2.438005.0,2021-12-24 17:29:26
QUERO ASSINAR,4,0,2.2.438005.0,2021-12-24 17:27:14
"RECOMENDO A ALEXA, POIS MINHAS MUSICAS, AGENDAS DE COMPROMISSOS, LEITURAS, PODCAST, ETC.. DE UMA FORMA RAPIDA E EFICAZ!!!",5,0,2.2.438005.0,2021-12-24 16:15:37
MUITO BOM.,5,0,2.2.435306.0,2021-12-24 16:07:00
OK,5,0,2.2.438005.0,2021-12-24 15:42:57
SENSACIONAL,5,0,2.2.438005.0,2021-12-24 15:19:36
MANGA,5,0,2.2.438005.0,2021-12-24 14:59:21
EXCELENTE,5,0,2.2.438005.0,2021-12-24 14:47:28
TOP,5,0,2.2.438005.0,2021-12-24 14:00:50
M A R A V O L H O S A ,5,0,2.2.438005.0,2021-12-24 13:30:29
OTIMO,5,0,2.2.438005.0,2021-12-24 13:03:31
MUITO BOM,5,0,2.2.438005.0,2021-12-24 12:52:40
PRODUTO MUITO BOM,4,0,2.2.438005.0,2021-12-24 12:05:21
"BOM, MAS COMO EU PRESTO CONSULTORIA PERSONALIZADA EM CASA INTELIGENTE, DEVERIA ABRIR UMA OPCAO DE ACESSO REMOTO PARA CONFIGURACAO, ESTILO SMART LIFE",5,0,2.2.438005.0,2021-12-24 11:29:49
"GOSTEI MAS PODERIA ENVIAR AUDIO PARA AMIGOS QUE TEM ALEXA, PQ NINGUEM FAZ LIGACAO HJ EM DIA... HEHEHE",4,0,2.2.438005.0,2021-12-24 11:22:08
"ESTOU UTILIZANDO A ALEXA DA AMAZON A POUCO TEMPO, MAS JA ESTOU GOSTANDO MUITO DA SUA VERSATILIDADE E SEUS RECURSOS.",5,0,2.2.438005.0,2021-12-24 11:10:21
OTIMO APLICATIVO!!!,5,0,2.2.438005.0,2021-12-24 10:58:35
MUITO BOM AINDA ESTOU APRENDENDO A USAR MAIS E FACIL,5,0,2.2.438005.0,2021-12-24 10:04:34
SURPREENDO,5,0,2.2.438005.0,2021-12-24 10:03:37
EM TESTE PARECE SER BOM!,5,0,2.2.438005.0,2021-12-24 09:23:25
MENUS PODERIAM SER MAIS USER FRIENDLY. AMAZON PRECISA SE ESPELHAR MAIS NAS SOLUCOES DA GOOGLE E VICE-VERSA,4,0,2.2.438005.0,2021-12-24 09:03:50
LINDISSIMA,5,0,2.2.438005.0,2021-12-24 09:00:40
GOSTEI MUITO DO PRODUTO MUITO BOM,5,0,2.2.438005.0,2021-12-24 08:44:04
MUITO BOA LOJA GOSTEI DIMAS...,4,0,2.2.438005.0,2021-12-24 08:26:39
SENSACIONAL!!! NOTA 10,5,0,2.2.438005.0,2021-12-24 08:09:06
MUITO BOM,5,0,2.2.438005.0,2021-12-24 07:31:52
INCRIVEL A VOZ OS COMANDOS AS RESPOSTAS DOS COMANDOS SAO IDENTICAS A ALEXA,5,0,2.2.438005.0,2021-12-24 07:09:23
"TOP,FACIL DE USAR",5,0,2.2.438005.0,2021-12-24 06:55:35
ACHEI MARAVILHOSA!!!,5,0,2.2.438005.0,2021-12-24 01:46:09
ACHEI MUITO MELHOR QUE O GOOGLE ASSISTENTE E A SIRI,5,0,2.2.438005.0,2021-12-23 23:27:15
ADOREI,5,0,2.2.438005.0,2021-12-23 23:17:02
ATE AGORA ESTA MUITO BOM,4,0,2.2.438005.0,2021-12-23 22:53:11
"AINDA ESTOU APRENDENDO A USAR, ATE O MOMENTO ESTA TUDO BEM, NAO TIVE MAIORES DIFICULDADES.",5,0,2.2.438005.0,2021-12-23 22:32:40
FANTASTICO APLICATIVO,5,0,2.2.438005.0,2021-12-23 22:22:54
MUITO BOM,5,0,2.2.438005.0,2021-12-23 22:03:27
AMO,5,0,2.2.438005.0,2021-12-23 21:49:52
FUNCIONA MUITO BEM....,5,0,2.2.438005.0,2021-12-23 20:15:01
MUITO BOA,5,0,2.2.438005.0,2021-12-23 20:11:18
"TRAVA UM POUCO, MAS ATENDE O QUE PROMETE",4,0,2.2.438005.0,2021-12-23 18:31:55
"GOSTO DEMAIS DE AUTOMACAO, E A ALEXA E OTIMA NESSE QUESITO. O APP E OTIMO.",5,0,2.2.438005.0,2021-12-23 18:01:03
EXCELENTE ,5,0,2.2.438005.0,2021-12-23 17:23:05
"EU AMO A ALEXA, UM DISPOSITIVO MUITO INTERATIVO E DE FACIL UTILIZACAO.",5,0,2.2.438005.0,2021-12-23 17:12:04
OTIMO GASTEI MUITO MUITO,5,0,2.2.438005.0,2021-12-23 16:50:17
EU AMO ESSE APP,5,0,2.2.438005.0,2021-12-23 16:27:27
BOM DEMAIS,5,0,2.2.438005.0,2021-12-23 15:58:49
