CONTENT,SCORE,THUMBSUPCOUNT,REVIEWCREATEDVERSION,AT
"NAO TOCA O ARTISTA QUE PEDIMOS, TOCA SEMPRE UMA RADIO ALEATORIA QUE NAO E DO ARTISTA, TEMOS SEMPRE QUE USAR O BLUETOOTH O QUE A FAZ MELHOT COMO CAIXA DE SOM E NAO COMO SECRETARIA VIRTUAL. NAO OBEDECE MUITOS COMANDOS, SINCERAMENTE O SISTEMA DA ALEXA PIOROU MUITO, NO INICIO ERA BEM MELHOR.",2,2,2.2.438005.0,2021-12-28 14:44:34
A M E I !!!!!!!!,1,0,2.2.438005.0,2021-12-28 12:06:23
"O APP FICA MUDANDO AS CONFIGURACOES SOZINHO, JA DESATIVEI E EXCLUI UMA LAMPADA QUE EU TINHA CONECTADA QDO ABRO O APP ELA ESTA LA ATIVADA DE NOVO. EU DESATIVEI O RESUMO DE NOTICIAS PQ FICA DANDO CONFLITO COM UMA RADIO QUE GOSTO DE OUVIR DE MANHA, AI QDO EU ABRO O APP ESTA ATIVADO DE NOVO O RESUMO DE NOTICIAS. SEM CONTAR QUE MINHA ECO DOTH DE MANHA FICA COM UMA LUZ VERMELHA ACESA E NAO RESPONDE A COMANDO NENHUM.",2,1,2.2.438005.0,2021-12-28 06:50:44
MUITO LENTO.. CADA DIA PIOR............,1,0,2.2.438005.0,2021-12-28 02:40:04
VIVE DESCONECTANDO DA WIFI. PROVAVELMENTE FALHA NO HARDWARE.,1,0,2.2.438005.0,2021-12-27 16:33:02
"ABSOLUTAMENTE RESTRITO, FOTOS POR EXEMPLO SO CONECTA COM FACEBOOK. FACEBOOK??? SE NAO SOU ADEPTA DE REDES SOCIAIS, NAO POSSO USAR A FUNCAO. PENSAMENTO DE PRODUTO ULTRAPASSADO.",1,0,2.2.438005.0,2021-12-27 14:41:06
"DAS PIORES COISAS QUE EU COMPREI, NAO CONSEGUE SE CONECTAR AO WI-FI, POR MAIS QUE EU TENTE DIZ SEMPRE QUE A PALAVRA PASS DO WI-FI ESTA ERRADA, E A APK NAO AJUDA EM NADA POIS ESTA QUASE TUDO EM INGLES.",1,2,2.2.438005.0,2021-12-27 09:12:39
CAN'T LOGIN WITH MY SMARTWATCH,1,0,2.2.438005.0,2021-12-27 06:19:41
"MUITO A AJUSTAR, DIFICIL DE USAR A LUZ, PODERIA NAO DEPENDER DA INTERNET PARA TUDO",1,0,2.2.438005.0,2021-12-27 01:55:51
"MUITO UTIL PARA QUEM TEM UM DISPOSITIVO ECHO OU OUTROS. O APP E MUITO LENTO PARA DIVERSAS INTERACOES, COMO A IDA E VINDA DE UMA ABA OU TELA DE RECURSO. A CRIACAO DE ROTINAS E POUCO INTUITIVA E LENTA PARA CARREGAR EM ALGUNS MOMENTOS ALEM DO QUE, MOVER UM ELEMENTO DE BAIXO PARA CIMA NAO FUNCIONA DIREITO. A MAIOR COMPLICACAO E PROCURAR POR UMA SKILL. ROLEI A PAGINA 4 VEZES, ABRI UMA SKILL PARA LER OS DETALHES, NAO INSTALEI E AO TOCAR EM VOLTAR FUI NOVAMENTE PARA O TOPO DA LISTA.",2,39,2.2.438005.0,2021-12-26 23:48:08
"O IDIOMA DA APP ESTA EM PORTUGUES, NO ENTANTO MAIS DE METADE DAS COISAS CONTINUA EM INGLES",1,0,2.2.438005.0,2021-12-26 21:25:02
A APLICACAO NAO PRESTA PARA NADA SO TEM ERROS E NEM DA PARA ADICIONAR NOVOS SERVICOS DE MUSICA! APENAS A PROPRIA ALEXA QUE FUNCIONA BEM TIRANDO NO SPOTIFY NAO LE MUSICAS APENAS NOMES DE ALBUNS!! ,1,2,2.2.438005.0,2021-12-26 20:28:45
"SE VC N COMORA UM APARELHO QUE JA VEM COM ELA NAO VALE A PENA BAIXAR, NAO E FACIL USAR, NAO CONSEGUI FAZER DELA ASSISTENTE DO APARELHO, RIDICULO",1,0,2.2.438005.0,2021-12-26 19:40:18
PESSIMA CONFIGURACAO!!!,1,0,2.2.438005.0,2021-12-26 18:21:56
AS SKILLS NAO FUNCIONAM,1,0,2.2.438005.0,2021-12-26 14:14:34
LIXO,1,0,2.2.438005.0,2021-12-26 14:10:23
MUITAS FALHAS... O GRUPO SEMPRE SE PERDE E UM DOS DISPOSITIVOS FALHA... INFELIZMENTE A AMAZON PARECE QUE ABANDONOU O PROJETO E TUDO PAROU NO TEMPO.,2,0,2.2.438005.0,2021-12-26 12:49:18
PIOR APP QUE JA TIVE DEMORA ABRIR TRAVA DIRETO ENFIM SO PORQUE NAO TEM OUTRO E TENHO DE USAR POR TER ECHO,2,0,2.2.438005.0,2021-12-26 11:08:31
E RUIM,1,0,2.2.438005.0,2021-12-26 09:30:11
MUITO COMPLEXO DE MEXER,2,0,2.2.438005.0,2021-12-26 08:57:33
"INFELIZMENTE AINDA HA MUITO PRA MELHORAR. O ALARME POR COMANDO DE VOZ NAO ACIONOU PELA ALEXA, E QUASE PERDI 2 EVENTOS IMPORTANTES. O SEGUNDO EU SO NAO PERDI POR QUE, COLOQUEI O ALARME NORMAL DO CELULAR 2 MINUTOS DEPOIS. E ELE ME ACORDOU, JA O DA ALEXA NEM SEQUER ACENDEU A TELA.",2,4,2.2.438005.0,2021-12-26 06:59:07
"DESDE QUE ATUALIZOU NAO CONSIGO LOGAR. JA LIMPEI O CACHE, FIZ TUDO MAS DAR UMA MENSAGEM QUE ESTOU SEM REDE PARA CONECTAR. NAO SEI COMO PROCEDER E ESTOU SEM ACESSO.",1,0,2.2.438005.0,2021-12-26 01:02:13
ELA NUNCA ENTENDE O QUE EU FALO E SEMPRE BUGA DO NADA. TRAVA QUASE SEMPRE E NAO ATENDE TODAS AS DEMANDAS SOLICITADAS.,1,0,2.2.438005.0,2021-12-26 00:19:52
APLICATIVO MUITO RUIM.,2,0,2.2.438005.0,2021-12-25 18:08:26
N ESTOU CONSEGUINDO CONFIGURAR A ALEXA,2,0,2.2.438005.0,2021-12-25 12:23:17
"MESMO COM SPOTIFY PREMIUM, A ALEXA FICA PASSANDO PROPAGANDA ENTRE AS MUSICAS.",2,0,2.2.438005.0,2021-12-25 12:03:15
OTIMO,1,0,2.2.438005.0,2021-12-25 10:48:40
NAO CONSEGUI ENTRAR NO APLICATIVO,1,0,2.2.438005.0,2021-12-25 10:41:12
"ESTA APRESENTANDO ALGUNS TRAVAMENTOS, QUE ATRAPALHAM NA UTILIZACAO DO APP",2,0,2.2.438005.0,2021-12-25 09:29:09
NAO RECOMENDO A COMPRA DESTE APARELHO...NAO E TUDO ISSO QUE AS PESSOAS FALAM....SE TIVER 100 REAIS VALE A PENA...FORA ISSO NAO VALE....,1,0,2.2.438005.0,2021-12-24 23:27:20
"METADE DOS MENUS ESTAO EM PORTUGUES OUTRA METADE EM INGLES O ECHO DOT NAO SE CONSEGUE LIGAR A NENHUMA REDE WIFI, UM AUTENTICO PESADELO ESTA APP",1,0,2.2.438005.0,2021-12-24 22:27:57
"COMPREI UMA CAMERA DO SITE DA AMAZON QUE DIZIA COMUNICAR COM A ALEXA MAS NAO COMUNICA , O SISTEMA ALEXA PRECISA SER MAIS ACESSIVEL COM OS EQUIPAMENTOS DE AUTOMACAO RESIDENCIAL .",2,0,2.2.438005.0,2021-12-24 18:51:57
NAO TEM ASSISTENTE EM PORTUGUES DE PORTUGAL. A MAIORIA DOS COMANDOS NAO ESTAO DISPONIVEIS EM PORTUGUES. ESTA CONSTANTEMENTE A TENTAR VENDER PRODUTOS DA AMAZON.,1,0,2.2.438005.0,2021-12-24 18:42:55
LIXO FUNCIONOU UM DIA SO. N ABRE OU TEM DIFICULDADE PRA ENTENDER. CANSEI.,1,0,2.2.438005.0,2021-12-24 15:46:43
ABSURDAMENTE LENTO.,2,0,2.2.438005.0,2021-12-24 15:22:24
MUITOS BUGS ... PRECISA TORNAR-SE MAIS FLUIDA...,2,0,2.2.438005.0,2021-12-24 09:16:50
"MUITO DIFICIL PRA CONFIGURAR E NAO CONECTA O WIFI DE JEITO NENHUM ,QUE RAIVA DESSE PRODUTO.",1,0,2.2.438005.0,2021-12-23 23:35:31
COMPLICADO PRA CARAMBA PRA USAR,2,0,2.2.438005.0,2021-12-23 23:17:09
RUIM,1,0,2.2.438005.0,2021-12-23 20:02:35
"ALEXA SO FUNCIONOU POR UMA SEMANA NA MINHA TV SAMSUNG, NAO CONSIGO FAZE-LA FUNCIONAR NOVAMENTE! TRISTE !",1,0,2.2.438005.0,2021-12-23 14:49:52
"APLICATIVO PRA CONTROLAR A MUSICA POR ELE SO FAZ TRAVAR, E UMA DROGA... DEVERIAM REVER E DEIXAR ELE MAIS LEVE... UM CELULAR DE 6GB DE RAM E 128GB DE MEMORIA E O APP AINDA TRAVA...",1,1,2.2.438005.0,2021-12-23 10:31:07
NAO ESTA FUNCIONANDO NO ANDROID 12 ONEPLUS 9PRO...APLICATIVO TRAVADO...,1,0,2.2.438005.0,2021-12-23 10:11:38
"LEGALZINHO, MAS SO FUNCIONA COM O APP ABERTO",1,0,2.2.438005.0,2021-12-22 22:19:14
"NADA INTUITIVO, NAO RECONHECE AS VOZES (PESSOAS DIFERENTES SAO IDENTIFICADAS COMO UMA SO)",1,0,2.2.438005.0,2021-12-22 20:57:52
"APLICATIVO MUITO RUIM, FICA TRAVANDO, TEMPO DE RESPOSTA PESSIMO!",1,0,2.2.438005.0,2021-12-22 20:22:48
NAO VALE NADA,1,0,2.2.438005.0,2021-12-22 10:22:25
APP LENTO E CONFUSO...,1,0,2.1.297.0,2021-12-22 07:06:14
NAO GOSTEI,1,0,2.2.438005.0,2021-12-22 04:19:03
CUSTA ACESSAR A CONTA PARECE Q ESTA SEMPRE FORA DO AR . QUANDO ENTRA E UM SUFOCO,2,0,2.2.438005.0,2021-12-21 22:10:56
"NO MEU ASUS ZENFONE 5 O APP NAO FUNCIONA, TIVE QUE PEGAR OUTRO CELULAR PRA CONFIGURAR MINHA ECHO DOT. MAS TODA VEZ QUE TENTO CONECTAR, DA UMA FALHA E A ECHO SAI DO MODO DE CONFIGURACAO!",1,0,2.2.438005.0,2021-12-21 21:04:23
HORRIVEL,1,0,2.2.438005.0,2021-12-21 17:07:37
MUITO CONFUSO DEVERIA SER MAIS SIMPLES,1,0,2.2.438005.0,2021-12-21 16:37:46
NAO ESTOU CONSEGUINDP,1,0,2.2.438005.0,2021-12-21 15:26:34
ACHO QUE DEVE MELHORAR MAIS,2,0,2.2.438005.0,2021-12-21 15:24:53
E LENTO PRA P...... MAS A ALEXA E PERFEITA.,1,0,2.2.438005.0,2021-12-21 15:14:45
ELA TEM DIFICULDADE DE EXECUTAR COMANDOS NO FIRE TV,2,0,2.2.438005.0,2021-12-21 15:01:21
A INTEGRACAO COM O ANDROID NAO VAI NADA BEM,2,0,2.2.438005.0,2021-12-21 12:26:39
APP NAO E FUNCIONAL.,1,0,2.2.438005.0,2021-12-21 12:17:28
"PARECE QUE UM ESTAGIARIO FEZ O APP. E EU TERIA VERGONHA DE DISPONIBILIZA-LO .APLICATIVO MUITO PESADO, LENTO, CONSOME MUITA MEMORIA, PARA FAZER O QUE ELE FAZ. PARA SE COMUNICAR COM O ECHO DOT AS VEZES E UM ""PARTO"". FICA TRAVANDO E NAO OBEDECE OS COMANDOS. PARA MEXER NO VOLUME E MELHOR NO APARELHO, POIS AS VEZES NO APLICATIVO ELE NAO APARECE. AS FUNCOES NO APLICATIVO NAO SAO NADA PRATICOS. DEVERIA TER ICONES NA TELA INICIAL COM AS FUNCOES ASSIM FACILITARIA A UTILIZACAO.",1,53,2.2.438005.0,2021-12-21 11:39:49
"ALEM DO APP ESTA MUITO LENTO ULTIMAMENTE, ESTA TRAVANDO E FECHANDO SOZINHO RECORRENTEMENTE. MUITOS BUGS!!! UMA PENA.",2,0,2.2.438005.0,2021-12-21 09:56:54
O MEU APP NAO SAI DA TELA PARA ESCOLHER A REGIAO KKKKKK,1,0,2.2.438005.0,2021-12-21 08:11:15
"TEM MUITA COISA PRA MELHORAR AINDA. TENHO DIVERSOS DISPOSITIVOS INTELIGENTES, POREM NA TV AU7700 65"" POR EXEMPLO, A INTEGRACAO NAO E MUITO BOA.. HORA ALGUNS COMANDO FUNCIONA, HORA NAO. MUITO INSTAVEL. ESPERO QUE COM O DECORRER DO TEMPO COMECE A MELHORAR .",2,7,2.2.438005.0,2021-12-21 03:22:17
O POTENCIAL E ENORME MAS HA FALHAS BOBAS. EU NAO CONSIGO ADICIONAR MEU PROPRIO NUMERO PARA ENCONTRAR O APARELHO.,2,0,2.2.438005.0,2021-12-21 01:30:15
"LENTO, POUCO INTUITIVO E NAO CONVERSA BEM COM A REDE WIFI",1,0,2.2.438005.0,2021-12-21 00:29:13
O APLICATIVO NAO FAZ NADA QND DIGO ALEXA . MESMO COM O APP ABERTO NAO RESPONDE.. SO EXECUTA ALGUMA FUNCAO AO CLICAR NO BOTAO,1,0,2.2.438005.0,2021-12-20 22:51:11
"A ALEXA E SUAS FUNCOES SAO INCRIVEIS, MAS O APLICATIVO E EXTREMAMENTE HORRIVEL! TRAVA DEMAIS...",1,0,2.2.438005.0,2021-12-20 22:32:57
"APP ESTA HORRIVEL, LENTO, NAO RECONHECE COMANDO DE VOZ, PARECE UMA APP EM TESTE",2,0,2.2.438005.0,2021-12-20 19:51:24
APLICATIVO EXTREMAMENTE LENTO,1,0,2.2.438005.0,2021-12-20 00:05:27
TRAVANDO TODA HORA NO ANDROID,1,0,2.2.438005.0,2021-12-19 19:39:36
NAO CONECTA COM CHROMECAST,2,0,2.2.438005.0,2021-12-19 15:34:16
"MUITO BOM , MAIS AINDA PRECISA DE MUITA COISA AINDA , E POR FAVOR COLOCA O TIDAL PRA PRA OUVIRMOS TBM USAMOS",2,0,2.2.438005.0,2021-12-19 12:08:16
TRAVA MUITO,2,0,2.2.438005.0,2021-12-19 11:28:01
"APP EXTREMAMENTE LENTO! A ABA ""REPRODUCAO"" SO EXIBE O QUE ESTA SENDO REPRODUZIDO, QUANDO QUER. MUITO RUIM!",1,1,2.2.438005.0,2021-12-19 11:05:50
E UM TESTE DE PACIENCIA DE TAO LENTO,1,0,2.2.438005.0,2021-12-19 10:57:52
"PESSIMO, NAO CONSIGO ADICIONAR OUTRAS VOZES NA ALEXA, O APP PARECE NAO SER SINCRONIZADO COM O DISPOSITIVO.",1,0,2.2.438005.0,2021-12-19 10:45:14
NAO CONSIGO CONFIGURAR,1,0,2.2.438005.0,2021-12-19 10:12:01
TENHO TIDO MUITOS PROBLEMAS COM OS DISPOSITIVOS DE CASA INTELIGENTE. A ALEXA FIXA FORA DO AR E NAO CONSIGO LIGAR E DESLIGAR. DAI TENHO QUE USAR O TUYA.,2,0,2.2.438005.0,2021-12-19 06:34:58
NAO GOSTEI DO APLICATIVO TEM UM APLICATIVO QUE EU USO PARA CONTROLAR MINHA E ELE FUNCIONA ESSE E MUITO CHATO E ESSE APLICATIVO E PARA PROPRIA TV NAO RECOMENDO PARA MEUS AMIGOS,1,0,2.2.438005.0,2021-12-18 18:59:10
NAO RESPONDE AO COMANDO DE VOZ,2,0,2.2.438005.0,2021-12-18 17:26:38
"NAO CONSIGO CONECTAR COM APARELHO ALEXA, SOMENTE NO TELEFONE. O QUE TEM.DE ERRADO.",1,0,2.2.438005.0,2021-12-18 15:19:08
ERA PRA SER SIMPLES... TOTALMENTE DIFICIL,1,0,2.2.438005.0,2021-12-18 14:47:22
TO TENTANDO ARRANJAR UMA UTILIDADE PARA ELA A ALEXA.A PRIORI PERDI MEU SUADO DIDIM,1,0,2.2.438005.0,2021-12-18 12:40:01
"NAO CONSIGO CONECTAR COM .INHA SMART TV LG. UMA BARREIRA GIGANTE PARA QUEM ESTA COMECANDO A DEIXAR A CASA ""INTELIGENTE"". MUITO DECEPCIONADA COM ESSA LACUNA NA INTERACAO DESSAS DUAS GRANDES MARCAS. ",1,0,2.2.438005.0,2021-12-18 03:39:08
"MUITO DIFICIL DE ENTENDER, AGREGAR DISPOSITIVOS",1,0,2.2.438005.0,2021-12-17 21:09:29
"QUANDO CONECTO MINHA ECHO DOT 4 VIA BLUETOOTH AO MEU FIRE TV STICK PARA OUVIR OS SONS DA TV O VOLUME FICA MUITO BAIXO, JA ESTA ASSIM HA ERAS E A AMAZON NAO RESOLVE.",1,1,2.2.438005.0,2021-12-17 20:58:09
"MAL OTIMIZADO, TRAVA TD HR, ESQUENTA O CELULAR",2,0,2.2.438005.0,2021-12-17 20:46:28
NAO FUNCIONA!!,1,0,2.2.438005.0,2021-12-17 19:43:28
E MUITO RUIM PARA CONFIGURAR EM OUTRO LOCAL,1,0,2.2.438005.0,2021-12-17 17:46:29
"HOUVE UM TEMPO QUE CONSEGUIA FAZER CHAMADAS COM ALEXA ATRAVES DO MEU APARELHO DA PLANTRONICS SEM TOCAR NO SMARTPHONE, MAS COM AS ACTUALIZACOES QUE FORAM FEITAS NUNCA MAIS FOI POSSIVEL. APOS DESINSTALAR E VOLTAR A INSTALAR AS APP ALEXA E PLANTRONICS CONTINUA COM O MESMO ERRO. PORTANTO AGRADECIA QUE RESOLVESSE O PROBLEMA, OBRIGADO.",1,4,2.2.438005.0,2021-12-17 17:17:59
HORIVELL NAO CONSIGO DESINSTALAR,1,0,2.2.438005.0,2021-12-17 17:16:41
RUIM,1,0,2.2.438005.0,2021-12-17 16:31:36
NAO ESTA RODANDO NO ANDROID 12,1,0,2.2.438005.0,2021-12-17 15:36:20
DESDE A ULTIMA ATUALIZACAO QUE NAO CONSIGO EMPARELHAR LUZES COM A APP,1,0,2.2.438005.0,2021-12-17 13:58:53
LENTO E CONFUSO.,1,0,2.2.438005.0,2021-12-17 13:22:53
GOOGLE CALENDAR DOESN'T SYNC,1,0,2.2.438005.0,2021-12-16 23:10:33
NAO ACERTA NENHUMA PREVISAO DO TEMPO. NAO TROCA OS CANAIS DE TV COMO TROCAVA ANTES. TEM APRESENTADO FALHAS GRAVES DE COMUNICACAO COM DISPOSITIVO INFRAVERMELHO PARA LIGAR E DESLIGAR EQUIPAMENTOS ELETRONICOS. UMA DECEPCAO.,1,3,2.2.438005.0,2021-12-16 19:38:35
"DEPOIS DA ULTIMA ATUALIZACAO, BUGOU GERAL. TODAS AS LUZES EKAZA PARARAM A TV LG NANOCELL86 TAMBEM NAO FUNCIONA ADEQUADAMENTE.",2,5,2.2.438005.0,2021-12-16 18:14:58
APLICATIVO MUITO LENTO,1,0,2.2.438005.0,2021-12-16 18:14:31
APLICATIVO DEMORA A RESPONDER AOS COMANDOS,1,0,2.2.438005.0,2021-12-16 18:07:08
O APLICATIVO E MUITO COMPLICADO PARA O USUARIO. NAO CONSIGO BAIXAR MUSICAS. NAO FUNCIONA OFF-LINE. E MUITO COMPLICADO PARA CONECTAR LAMPADAS OU IMPOSSIVEL. PRECISAMOS MELHORAR.,1,1,2.2.438005.0,2021-12-16 16:01:26
"HORRIVEL EXPERIENCIA. TENHO ALEXA APP E ECHO DOT. PEDE PRA TOCAR QUALQUER ARTISTA NO SPOTIFY E A ALEXA TOCA O RADIO DO ARTISTA. SE PEDE PARA TOCAR O ALBUM DO ARTISTA, ELA TOCA A RADIO DO ARTISTA. O PIOR E QUE A TAL RADIO DO ARTISTA NAO TOCA A MUSICA DO ARTISTA E SIM MUSICAS DIVERSAS ONDE A MAIORIA NAO PERTENCE NEM A CATEGORIA DE MUSICA DO ARTISTA. SERVICO DA AMAZON PRA INICIANTES. SE QUISER ALGO PROFISSIONAL - VAI DE ASSISTENTE DO GOOGLE MESMO.",1,9,2.2.438005.0,2021-12-16 13:04:45
"APP MUITO PESADO. MEU XIAOMI REDMI 8 COM 4GB RAM RODA O APP TRAVANDO MAIS QUE SAMSUNG. APENAS O APP ALEXA FICA ASSIM, TODOS OS OUTROS FUNCIONAM PERFEITAMENTE.",1,1,2.2.438005.0,2021-12-16 09:36:49
APLICATIVO RUIM O TEMPO DE RESPOSTA DELE E MUITO MUITO DEMORADO. EXPERIENCIA DE USABILIDADE PESSIMA. TENHO UM ECHO DOT QUANDO PRECISO ENVIAR UM AVISO AO DISPOSITIVO E PESSIMO. QUANDO PRECISO REALIZAR UMA CHAMADA E PESSIMO O DELAY GIGANTESCO. ACREDITO QUE A AMAZON TENHA POTENCIAL PARA CRIAR UM APLICATIVO DE EXCELENCIA UMA VEZ QUE SEUS DISPOSITIVOS SAO BONS. OU NO MINIMO GARANTIR UMA EXPERIENCIA DE USABILIDADE RAZOAVEL AOS TEUS USUARIOS.,1,50,2.2.438005.0,2021-12-16 08:15:56
RUIM PQ NAO ESTA CONECTANDO,1,0,2.2.438005.0,2021-12-15 21:59:21
LIXO DE APLICATIVO E SUPORTE. E-MAIL DE SUPORTE NO APLICATIVO SO DA ERRO DE ENVIO. ALEXA DESDE NOVEMBRO ESTA UM LIXO. NAO FUNCIONA COM INTERRUPTORES E DEMAIS PLUGS INTELIGENTES. PERDE CONEXAO COM ELES E AINDA TEM CAPACIDADE DE DIZER QUE E ERRO DO INTERRUPTOR. SEM ALEXA ELES FUNCIONAM SUPER BEM. AMAZON TEM UM TUMOR NO SUPORTE TECNICO. NUNCA MAIS COMPRO NADA DELES. OUTRA COISA DIVULGO A AVALIACAO E ELES APAGAM... NOTA 0 0 0 0 0 0,1,31,2.2.438005.0,2021-12-15 19:23:53
ALEXA SEMPRE DESCONFIGURADO.,2,0,2.2.438005.0,2021-12-15 17:12:44
A MINHA ALEXA DEI PROBLEMA HOJE. ESTA FALHANDO CONSTANTEMENTE. COM QUEM DEVO FALAR?,1,0,2.2.438005.0,2021-12-15 16:05:44
SEM SKILLS PARA O BRASIL,1,0,2.2.438005.0,2021-12-15 15:28:33
"EXPERIENCIA RUIM, INTERFACE PESSIMA E USABILIDADE PIOR.",2,0,2.2.438005.0,2021-12-14 23:02:53
"APLICATIVO NAO RESPONDE AOS TOQUES, DEMORA ABRIR, LENTO AO EXTREMO",1,0,2.2.438005.0,2021-12-14 22:12:12
PIOR APP DO MUNDO,1,0,2.2.438005.0,2021-12-14 22:03:15
ATE AGORA NAO FUNCIONOU COM MINHA TV LG E NEM COM MINHA CAMERA INTELBRAS,1,0,2.2.438005.0,2021-12-14 21:16:24
"E UM INFERNO QUANDO PRECISA CONFIGURAR ALGO, LEVA MAIS DE 30 MINUTOS SEMPRE DA VARIOS ERROS.",1,0,2.2.438005.0,2021-12-14 19:19:25
"APLICATIVO MUITO RUIM. MUITO LENTO. TEM TUDO O QUE E NECESSARIO PARA OPERAR O EQUIPAMENTO, NAO FOSSE A LENTIDAO DO APP., SERIA EXCELENTE.",2,1,2.2.438005.0,2021-12-14 18:21:41
#ORRIVEL JA TO 10 HORAS ESPERANDO ELE DAR SENHA E AMIL CONSERTAR ISSO MANO SERIO ONTEM ELE MANDARA O CODIGO POLOQUEI CODIGO MAS NO FOI FIQUEI TAO PUTO,1,0,2.2.438005.0,2021-12-14 14:33:02
NAO ESTA FUNCIONANDO CORRETAMENTE PEDE PARA LIGAR LUZ DISSE QUE NAO FOI ENCONTRADO,1,0,2.2.438005.0,2021-12-14 09:34:16
"A APP BRASILEIRA ESTA TODA EM BRASILEIRO, A APP PORTUGUESA ESTA EM BRASILEIRO E INGLES, SERIO, POR FAVOR TRADUZAM A APP POR COMPLETO.",2,0,2.2.438005.0,2021-12-14 08:22:10
A SKILL DA MIBO CAM SIMPLESMENTE NAO FUNCIONA. NAO PASSA DA TELA DE LOGIN. COMPREI AS CAMERAS DA INTELBRAS E A ALEXA ECHO SHOW ATOA.,1,0,2.2.438005.0,2021-12-13 23:56:57
"QUERO SABER O PQ, VEIO DESCONTADO NA MINHA CONTA UM VALOR SENDO Q NAO COMPREI NADA!",1,0,2.2.438005.0,2021-12-13 22:59:37
PESSIMO. O COMANDO FALHA MUITO . E NAO RECONHECE SEU COMANDO. TINHA QUER SER IGUAL AO GOOGLE. QUE RECONHECE SUA PESQUISA. AI SIM SERIA INTELIGENCIA ARTIFICIAL DE VERDADE MESMO.,1,0,2.2.438005.0,2021-12-13 22:02:03
"HORRIVEL, NAO FUNCIONA E NAO CUMPRE COM O MINIMO",1,0,2.2.438005.0,2021-12-13 20:34:45
"NA MEU RELOGIO (AMAZFIT BAND 5) A ALEXA SIMPLESMENTE PAROU DE FUNCIONAR, SO APARECE"" FALHA NA AUTORIZACAO"". POR FAVOR CORRIJA ESSE ERRO.",2,0,2.2.438005.0,2021-12-13 12:21:01
